id_usuario,nombre_usuario,rol,contrasena,fecha_creacion,fecha_actualizacion
2855ed30-46d5-4879-8e19-8bdde8e4955e,fechevarria,operador,g)!7A+nv&aF5,2025-06-05T00:08:19.504613,2025-06-05T00:08:19.504613
0675298b-f135-4b90-ac9d-1f7919b7cd93,onofre23,supervisor,m8UKg@b_+*(U,2025-06-05T00:08:19.504613,2025-06-05T00:08:19.504613
f0e3c66b-8fd0-4f71-a396-241df9502712,maria-del-carmenpina,admin,0mifgeMm(2TQ,2025-06-05T00:08:19.504613,2025-06-05T00:08:19.504613
a059aa7d-5870-447e-85a5-a962d1ef0176,piniesta,operador,kOC0MuQ)+33j,2025-06-05T00:08:19.504613,2025-06-05T00:08:19.504613
bfa86e4a-bf2c-4657-a5a3-edb33107bccb,bbenavent,operador,O5_nvLSz@01F,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
69d30068-3f2e-459c-bcc7-87b64c930d96,marciano72,supervisor,16DV7CQh7_SI,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
c1ce271d-30ce-4197-beb0-e38ac09d0579,apolinar73,operador,+8)+4S9S9a*R,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
8d538381-f8e7-4966-9a7d-75a053b64e03,puigmanu,admin,#3z*DLv_@DA(,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
97334f1d-e559-45c4-ae39-a75e2f055687,marcialfuertes,supervisor,%qx29ME_l1S#,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
d6c39a50-474c-4461-9ad0-ccf7b5956aa7,carlitoibanez,supervisor,3bXX)dlj%58G,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
786cdb53-b307-4b3e-b14e-10de302c3b70,aflores,supervisor,TmzD7MpKo_9*,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
f79de586-5620-45a2-beca-fe72ab2406fa,adoracionmosquera,operador,@0YSLzZETXjh,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
a7df93bf-13e7-48ea-bd9c-393e071ebe1f,curro71,admin,+53BOoqx$sB%,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
359326f9-b8b7-4849-a175-f93dd72d3f5b,desideriogalindo,supervisor,z$1oH0RqoBO7,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
1fca5c1c-cbb4-4814-ad2b-df104ce54956,carrenovinicio,admin,_LU+U$!hg1Mc,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
f725ef4a-1361-421f-b5c8-351e088499e7,abril87,supervisor,dU+s&GCk@F7y,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
ffb79f57-ab3d-494e-88e0-0f7ee9534aa6,vidalcasandra,operador,+yP#N$6O0hrL,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
958a96fd-df1c-4b2f-af15-eee3f985ede5,geronimo75,admin,c4F+Wa3oSz#L,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
2cadcbfb-44c2-4601-abc0-52fbb7e5a61a,candido40,supervisor,G50r$06#&1mT,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
5791569d-38d9-4030-ad40-aa8b9fbd15cc,almudena16,operador,D^16T4g^s8HL,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
9b6d1931-2d3a-45bd-8bec-40d3afd2f115,blancaduque,operador,lD6X)pCY1+sx,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
6f81cdce-f444-48ad-bcc0-b987e28e38e8,abiliocastaneda,operador,OzDEs5aV_c9g,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
fd29009a-1ab9-48e6-953b-188f32ca2f12,fitosalcedo,supervisor,L&sBYYy3!W2g,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
3983c8a7-6165-413f-b567-7063f508c17c,iarce,supervisor,gyMoxf#7$6eS,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
ec3320a9-69eb-480a-89cc-3ea03f271a1e,andresmanu,operador,)FRkNvTfzBw7,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
e21dded0-b457-4525-acb7-11842f4bedfe,zcriado,admin,*R%I(2Dh)esm,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
aaee9314-0d15-4d56-8eb8-232a541a2ebe,horaciorodriguez,operador,_g4Kite6uu+^,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
d3d4215d-2549-4a60-90ae-5673fe6147a2,gabrielaverdu,admin,d+aTkZYy&1o9,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
2c931ddb-fbb2-4e1c-861c-14d3fabbac51,felipedominguez,admin,Hw!zJqxstk7Q,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
645067ab-7f47-43d9-a1fb-2fc26e734a8a,jonatan53,supervisor,JAZ51Rg1)X#u,2025-06-05T00:08:19.505613,2025-06-05T00:08:19.505613
6f875374-0cb7-4c05-bd9b-21064ba0927d,amayapia,admin,(!6vJLwCuuKW,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
b6491079-787c-4e13-b909-2ab7303d55cc,santoselisa,admin,K2*M8BotMV_Y,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
e1082cf1-0930-40d9-8249-a861364bdac4,wbernal,supervisor,caTs$Dm6P$0k,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
e39b5846-e8cf-4d74-811a-04f5d5e9c89d,mcastillo,operador,0(6YC6GjqI+&,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
992353e1-ce25-4061-8661-be23f7427f8b,santiagobarranco,supervisor,@ai#$VFi^^E7,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
6a74a7e0-9486-495f-a5bb-1cc7de4e769e,collpepita,admin,*PADqYZD4Yh%,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
a13993ab-45d5-4e46-9abd-83b5714ea344,cferreras,admin,_PmH_Ylk$0Fq,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
2aa21b82-d67d-470d-bee8-30a139eab0e5,patriciacarnero,supervisor,MYHolt(v&9+U,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
61c01d60-89cc-4372-9151-fc7820a42a08,enriquecomas,operador,%DQ8FPwe(8Jp,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
64f27c09-ab72-4f96-bf71-2327f2662475,calistallado,operador,X!q&TsJhDe)2,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
b75dc761-d43d-411a-8c59-eb6861403b40,benjaminalcaraz,admin,13*BXx^q@OAv,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
98e6f282-ee6f-4552-b926-8bedc9277e14,cozaramaya,supervisor,201y8tpP1#zJ,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
635e34cf-a03e-4725-8dd7-ecbcf1809c09,asuncion95,supervisor,2M1uPWx@dv#6,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
bcc1cb8b-7773-4848-b48e-616405d6af9e,molinerlucia,operador,&t2THHOa+^bX,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
2d21d2ea-6209-4462-bba2-6da5a7aa03d4,nunezgerman,operador,#28MoKQjxKZ%,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
775fdc56-325a-464a-9c7c-3deb15cd1886,ovallejo,admin,d6^CQM_h23q1,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
3d12d450-ab72-4396-ae4d-7b4b48ed54aa,jose-antonio14,supervisor,8*)XaMZj*sz4,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
221bac78-7ec4-4166-972a-6ed942a63279,dora42,admin,*58uj)yk7%4X,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
a193acd6-7ce0-4d77-9fc5-259d9a80c79a,zaragozamanu,admin,s__KW0zV+0Tp,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
b961b5f3-df31-4687-8da8-c4fd9f5c15f5,simonprada,operador,xT8CBDCf_ZNo,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
8b14115f-904b-436a-bc8d-60a2276d3d70,navasjuan-bautista,supervisor,C0Z!90XlFAbi,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
c9ab4321-4ab1-4244-bbd8-f78dd68e16fa,walter45,admin,YX!8fZtqg1Y$,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
4425e250-3f5f-40c0-a45d-ef7b396b0ba2,yesicamir,operador,b(35lYBZXwU&,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
1f25e9e8-6495-45ae-9770-f152dba16582,cantongenoveva,supervisor,8X2CEnaA!WwU,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
d121bfd9-08e7-441e-b97f-2ade2620333a,antunezcleto,operador,%vLq^b&pP9J@,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
fee14ca3-08c8-4281-a84a-fa878689a885,eli58,admin,n^4Y0E^t!Cx6,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
76872232-7841-4abe-9266-f999a671a6f8,juan-bautistasala,operador,Lw4#ZV#u$h4+,2025-06-05T00:08:19.506612,2025-06-05T00:08:19.506612
1aee7c47-fefe-4906-a355-b6e72117fef4,huertanicanor,admin,ZG^57CIl38_0,2025-06-05T00:08:19.507617,2025-06-05T00:08:19.507617
e1e13edc-4276-4517-9cb2-c60e686f9bac,nelidacaceres,operador,H#2nv8Qbt_i6,2025-06-05T00:08:19.507617,2025-06-05T00:08:19.507617
4191b578-4181-4904-8aa2-91b7c9391ea8,ysaez,admin,_V9*Xa6I^S_X,2025-06-05T00:08:19.507617,2025-06-05T00:08:19.507617
ed69d931-8fca-4f34-815f-8e109f42c782,lucianosuarez,supervisor,buB#N$BoR%62,2025-06-05T00:08:19.507617,2025-06-05T00:08:19.507617
8235396e-34cc-4f97-9ad0-be60ffa29aaf,zverdejo,admin,sf1Q&!enZ_qm,2025-06-05T00:08:19.507617,2025-06-05T00:08:19.507617
9826dcbf-a43c-4a8d-8310-24b038087f27,sernaabraham,admin,RXruW5bQ%7T#,2025-06-05T00:08:19.507617,2025-06-05T00:08:19.507617
b759050f-accc-49b1-95f9-be7a930aae8b,reyna61,operador,ulsPchvG!7E0,2025-06-05T00:08:19.507617,2025-06-05T00:08:19.507617
84b4dec3-2fdf-478c-ad7c-34917663b6e9,aroabarriga,supervisor,_3xUiNiUV0!H,2025-06-05T00:08:19.507617,2025-06-05T00:08:19.507617
bee4e019-ecc8-4cab-9eb1-cd4568291c53,trinidad64,supervisor,$1^GHxAbL*5W,2025-06-05T00:08:19.507617,2025-06-05T00:08:19.507617
559ef05e-2601-4858-812b-370aae7b6714,naguilo,supervisor,sj+J5UA1R*^u,2025-06-05T00:08:19.507617,2025-06-05T00:08:19.507617
88e3af56-9a14-438b-87dd-80de1c662fbf,eligio22,supervisor,_7rrWtqTkhE5,2025-06-05T00:08:19.507617,2025-06-05T00:08:19.507617
cae72d84-2447-41d9-bd0f-c209c3d5c2be,vhernandez,admin,+0+ZZp5s1(3N,2025-06-05T00:08:19.507617,2025-06-05T00:08:19.507617
668fd4b3-1234-44ff-9d09-70e9c1596871,panfilomarin,admin,2HPV)Vwl@AZZ,2025-06-05T00:08:19.507617,2025-06-05T00:08:19.507617
77c9947a-f83f-4b23-acd5-8f184092e720,renata67,admin,8GHgnvWoS!L8,2025-06-05T00:08:19.507617,2025-06-05T00:08:19.507617
1e7189c0-a578-48f9-ae80-f5bb8bba5c66,apariciomayte,operador,a36W3POn@XPs,2025-06-05T00:08:19.507617,2025-06-05T00:08:19.507617
1afa0825-eae0-43c0-8b60-0473732076c8,vaqueroeligia,admin,eV*huM@lStS4,2025-06-05T00:08:19.507617,2025-06-05T00:08:19.507617
fd65324e-77e0-4b17-a69d-dfc55b4c13c5,pinillamaribel,supervisor,^1Yd^qr)@!g5,2025-06-05T00:08:19.507617,2025-06-05T00:08:19.507617
211ba499-d814-468e-aa1b-c19386da803c,xmonreal,admin,D9E5hnmP&4$K,2025-06-05T00:08:19.507617,2025-06-05T00:08:19.507617
